id,attacker_id,flag_id,attacker_delta,victim_delta,timestamp
43077,1,11967,2.850736025,-2.850736025,2022-06-16 13:12:59.576212+00
48948,1,12971,1.602474064,-1.602474064,2022-06-16 13:46:26.782481+00
25246,6,9107,14.89566759,-14.89566759,2022-06-16 11:47:09.496859+00
48949,1,12955,5.905607752,-5.905607752,2022-06-16 13:46:26.783679+00
40373,6,11504,1.927744296,0,2022-06-16 13:00:29.597986+00
30814,4,9632,6.327983588,-6.327983588,2022-06-16 12:10:07.77415+00
23570,1,8888,9.991421788,-9.991421788,2022-06-16 11:39:32.102634+00
37845,3,11120,2.641694902,0,2022-06-16 12:47:45.911263+00
48950,1,12963,20.04875721,-20.04875721,2022-06-16 13:46:26.78452+00
23599,3,8943,16.35480483,-16.35480483,2022-06-16 11:39:39.988424+00
23600,3,8958,13.69874359,-13.69874359,2022-06-16 11:39:39.99177+00
27283,4,9307,4.532524289,-4.532524289,2022-06-16 11:53:22.997129+00
43280,3,12014,10.62194583,-10.62194583,2022-06-16 13:14:05.771892+00
28937,6,9595,5.132162795,-5.132162795,2022-06-16 12:00:15.887748+00
46416,6,12528,1.994285618,0,2022-06-16 13:32:17.318853+00
28987,6,9662,8.59303422,-8.59303422,2022-06-16 12:00:30.79581+00
43349,6,11952,1.959084467,0,2022-06-16 13:14:13.591688+00
43377,1,11955,12.83293529,-12.83293529,2022-06-16 13:14:17.579651+00
23665,3,8941,9.547741584,-9.547741584,2022-06-16 11:40:03.656239+00
43378,1,11989,12.38592417,-12.38592417,2022-06-16 13:14:17.5809+00
25480,6,9278,9.621822646,-9.621822646,2022-06-16 11:48:12.767968+00
22413,4,8814,8.869220617,-8.869220617,2022-06-16 11:34:09.865041+00
22414,4,8815,8.560558644,-8.560558644,2022-06-16 11:34:09.866174+00
25498,4,9211,2.917845308,-2.917845308,2022-06-16 11:48:21.164478+00
33259,6,10349,2.639550653,-2.639550653,2022-06-16 12:22:33.514379+00
23696,3,8893,9.789572547,-9.789572547,2022-06-16 11:40:04.680711+00
23703,3,8957,9.736066749,-9.736066749,2022-06-16 11:40:04.872806+00
22451,2,8749,6.774317406,-6.774317406,2022-06-16 11:34:19.443059+00
35455,3,10750,10.83978008,-10.83978008,2022-06-16 12:34:05.409851+00
25542,1,9263,6.942331304,-6.942331304,2022-06-16 11:48:38.107152+00
25543,1,9247,7.665013492,-7.665013492,2022-06-16 11:48:38.110512+00
23727,4,8960,2.3600521,-2.3600521,2022-06-16 11:40:05.651904+00
22495,6,8752,1.73775725,0,2022-06-16 11:34:29.355321+00
23728,4,8944,0.643883616,0,2022-06-16 11:40:05.653776+00
25544,1,9279,5.348586428,-5.348586428,2022-06-16 11:48:38.111373+00
25545,1,9246,7.721794285,-7.721794285,2022-06-16 11:48:38.11223+00
22522,1,8747,4.714616091,-4.714616091,2022-06-16 11:34:47.022547+00
22523,1,8763,4.599051369,-4.599051369,2022-06-16 11:34:47.023829+00
25546,1,9262,6.983418806,-6.983418806,2022-06-16 11:48:38.113032+00
25547,1,9278,5.433788618,-5.433788618,2022-06-16 11:48:38.113845+00
33337,2,10299,5.773351396,-5.773351396,2022-06-16 12:23:14.432257+00
29104,2,9631,8.597099147,-8.597099147,2022-06-16 12:01:04.886592+00
29105,2,9646,6.805896234,-6.805896234,2022-06-16 12:01:04.889879+00
43379,1,11947,2.279035638,-2.279035638,2022-06-16 13:14:17.581657+00
35483,6,10733,2.384100158,-2.384100158,2022-06-16 12:34:07.962574+00
43380,1,11931,6.450592992,-6.450592992,2022-06-16 13:14:17.582505+00
25650,3,9133,9.129317318,-9.129317318,2022-06-16 11:49:07.234522+00
43381,1,11961,6.211057626,-6.211057626,2022-06-16 13:14:17.583255+00
40841,4,11561,12.62478606,-12.62478606,2022-06-16 13:03:01.56321+00
35603,6,10717,7.256473103,-7.256473103,2022-06-16 12:34:53.006012+00
23817,6,9005,3.994418029,-3.994418029,2022-06-16 11:40:14.708337+00
38325,4,11187,9.626059228,-9.626059228,2022-06-16 12:50:21.057421+00
23828,4,8939,3.210598175,-3.210598175,2022-06-16 11:40:19.59967+00
23829,4,8907,13.37200768,-13.37200768,2022-06-16 11:40:19.600393+00
23830,4,8955,3.12182962,-3.12182962,2022-06-16 11:40:19.601041+00
38326,4,11179,1.807968248,-1.807968248,2022-06-16 12:50:21.060765+00
38327,4,11163,4.411842516,-4.411842516,2022-06-16 12:50:21.061663+00
38328,4,11195,1.55883974,-1.55883974,2022-06-16 12:50:21.062537+00
23841,2,8941,6.539162127,-6.539162127,2022-06-16 11:40:24.515416+00
40842,4,11577,12.59556912,-12.59556912,2022-06-16 13:03:01.56703+00
23844,2,8957,6.707539256,-6.707539256,2022-06-16 11:40:24.568096+00
23846,4,8824,8.80146585,-8.80146585,2022-06-16 11:40:28.903617+00
40874,2,11614,7.819021569,-7.819021569,2022-06-16 13:03:04.941568+00
38448,2,11247,4.892095118,-4.892095118,2022-06-16 12:51:05.233078+00
23852,3,9008,2.624432509,0,2022-06-16 11:40:33.392864+00
23855,1,9005,5.133073733,-5.133073733,2022-06-16 11:40:35.073608+00
23856,1,8989,10.6212647,-10.6212647,2022-06-16 11:40:35.075071+00
23857,1,9021,5.263173526,-5.263173526,2022-06-16 11:40:35.07632+00
35804,3,10734,12.92752488,-12.92752488,2022-06-16 12:36:04.858525+00
26357,6,9235,14.76662796,-14.76662796,2022-06-16 11:51:01.445087+00
22628,2,8763,7.240743337,-7.240743337,2022-06-16 11:35:14.45042+00
34455,2,10527,7.950686727,-7.950686727,2022-06-16 12:29:05.258583+00
22664,4,8672,6.376877925,-6.376877925,2022-06-16 11:35:29.208767+00
21196,4,8440,9.147367659,-9.147367659,2022-06-16 11:28:05.832304+00
21197,4,8576,2.629078394,-2.629078394,2022-06-16 11:28:05.836875+00
21198,4,8560,0.664209067,0,2022-06-16 11:28:05.837873+00
21225,3,8622,17.05050754,-17.05050754,2022-06-16 11:28:11.042957+00
30136,2,9773,5.814886092,-5.814886092,2022-06-16 12:06:14.56437+00
30160,1,9784,8.956096138,-8.956096138,2022-06-16 12:06:23.187681+00
21280,1,8571,4.679266922,-4.679266922,2022-06-16 11:28:22.982179+00
21281,1,8555,4.781791316,-4.781791316,2022-06-16 11:28:22.984018+00
21299,4,8544,6.455166851,-6.455166851,2022-06-16 11:28:32.148052+00
21327,6,8638,11.07580625,-11.07580625,2022-06-16 11:28:33.615833+00
32239,2,10107,6.014550086,-6.014550086,2022-06-16 12:17:14.432937+00
21340,7,8362,12.05972533,-12.05972533,2022-06-16 11:28:39.867565+00
26553,6,9343,8.72876714,-8.72876714,2022-06-16 11:51:17.010564+00
21404,2,8638,7.265097029,-7.265097029,2022-06-16 11:29:05.266772+00
59898,3,14782,7.640812262,-7.640812262,2022-06-16 14:42:04.697104+00
48951,1,12978,11.21651523,-11.21651523,2022-06-16 13:46:26.785429+00
24688,1,8872,18.16362035,-18.16362035,2022-06-16 11:44:35.103162+00
24689,1,8936,18.10200018,-18.10200018,2022-06-16 11:44:35.106616+00
24690,1,8808,18.04055667,-18.04055667,2022-06-16 11:44:35.107531+00
22966,6,8863,12.78523146,-12.78523146,2022-06-16 11:36:40.245674+00
48952,1,12970,3.119765194,-3.119765194,2022-06-16 13:46:26.786226+00
48959,1,12947,8.376116524,-8.376116524,2022-06-16 13:46:32.747647+00
32555,2,10176,4.478704288,-4.478704288,2022-06-16 12:19:04.673933+00
21664,6,8702,10.92779308,-10.92779308,2022-06-16 11:30:10.958563+00
32556,2,10206,7.998576362,-7.998576362,2022-06-16 12:19:04.677391+00
34721,6,10622,6.541211045,-6.541211045,2022-06-16 12:30:12.512606+00
26821,3,9407,12.90159191,-12.90159191,2022-06-16 11:52:06.194562+00
37300,3,10797,6.909329198,-6.909329198,2022-06-16 12:44:30.914464+00
39910,1,11519,3.128912767,-3.128912767,2022-06-16 12:58:20.513506+00
26887,4,9341,5.217505192,-5.217505192,2022-06-16 11:52:11.28554+00
26895,4,9375,8.009480044,-8.009480044,2022-06-16 11:52:12.719188+00
26896,4,9325,5.068748011,-5.068748011,2022-06-16 11:52:12.720501+00
32691,6,10224,1.838743058,0,2022-06-16 12:20:04.045991+00
25069,6,9182,12.94920077,-12.94920077,2022-06-16 11:46:24.566246+00
28624,2,9567,8.622391803,-8.622391803,2022-06-16 11:59:05.139114+00
25098,6,9214,9.737292418,-9.737292418,2022-06-16 11:46:25.510007+00
34852,2,10590,7.904624208,-7.904624208,2022-06-16 12:31:04.795353+00
28656,6,9566,12.4297462,-12.4297462,2022-06-16 11:59:08.187603+00
32766,6,10269,7.697492623,-7.697492623,2022-06-16 12:20:09.521965+00
23396,1,8890,20.25268051,-20.25268051,2022-06-16 11:38:23.023643+00
23397,1,8858,20.18173137,-20.18173137,2022-06-16 11:38:23.027101+00
22037,2,8685,6.951897466,-6.951897466,2022-06-16 11:32:19.414415+00
23398,1,8882,19.09849285,-19.09849285,2022-06-16 11:38:23.028046+00
22059,1,8441,10.18050309,-10.18050309,2022-06-16 11:32:31.98661+00
22060,1,8433,10.35163776,-10.35163776,2022-06-16 11:32:31.990179+00
22061,1,8409,10.25809827,-10.25809827,2022-06-16 11:32:31.991006+00
22062,1,8425,10.13107993,-10.13107993,2022-06-16 11:32:31.991825+00
23399,1,8874,14.51910808,-14.51910808,2022-06-16 11:38:23.028964+00
23417,1,8891,4.553585309,-4.553585309,2022-06-16 11:38:29.062116+00
23418,1,8875,4.659410001,-4.659410001,2022-06-16 11:38:29.066499+00
25180,6,9197,3.750399247,-3.750399247,2022-06-16 11:46:56.30217+00
23455,4,8874,12.05402168,-12.05402168,2022-06-16 11:38:49.337438+00
39911,1,11503,4.049147045,-4.049147045,2022-06-16 12:58:20.516984+00
34897,6,10555,4.112487821,-4.112487821,2022-06-16 12:31:13.367864+00
32839,6,10302,7.072094887,-7.072094887,2022-06-16 12:20:25.165817+00
34943,4,10538,8.44096461,-8.44096461,2022-06-16 12:31:24.486977+00
59899,3,14846,7.578017278,-7.578017278,2022-06-16 14:42:04.702024+00
42975,6,11899,3.100302815,-3.100302815,2022-06-16 13:12:28.179974+00
22237,6,8751,12.83623794,-12.83623794,2022-06-16 11:33:25.656949+00
40106,2,11451,4.796745255,-4.796745255,2022-06-16 12:59:19.5743+00
22249,6,8767,10.1679034,-10.1679034,2022-06-16 11:33:26.043068+00
49045,2,13039,3.384883181,-3.384883181,2022-06-16 13:47:05.691605+00
23562,3,8960,8.318714269,-8.318714269,2022-06-16 11:39:25.977071+00
27257,2,9407,5.98223682,-5.98223682,2022-06-16 11:53:09.627129+00
52671,4,13613,1.032224775,-1.032224775,2022-06-16 14:06:12.019052+00
43152,2,11899,4.446622716,-4.446622716,2022-06-16 13:13:14.54168+00
52672,4,13597,6.133856724,-6.133856724,2022-06-16 14:06:12.020035+00
40306,6,11541,8.533218828,-8.533218828,2022-06-16 13:00:18.383029+00
